,username,gender,age,occupation,age,zipcode,password
60,user61,M,25,technician/engineer,25-34,95122,youaresosmartifyoufiguredoutthispassword
61,user62,F,35,clerical/admin,35-44,98105,youaresosmartifyoufiguredoutthispassword
62,user63,M,18,college/grad student,18-24,54902,youaresosmartifyoufiguredoutthispassword
63,user64,M,18,academic/educator,18-24,53706,youaresosmartifyoufiguredoutthispassword
64,user65,M,35,programmer,35-44,55803,youaresosmartifyoufiguredoutthispassword
65,user66,M,25,tradesman/craftsman,25-34,57706,youaresosmartifyoufiguredoutthispassword
66,user67,F,50,customer service,50-55,60181,youaresosmartifyoufiguredoutthispassword
67,user68,M,18,college/grad student,18-24,53706,youaresosmartifyoufiguredoutthispassword
68,user69,F,25,academic/educator,25-34,02143,youaresosmartifyoufiguredoutthispassword
69,user70,M,18,college/grad student,18-24,53703,youaresosmartifyoufiguredoutthispassword
70,user71,M,25,sales/marketing,25-34,95008,youaresosmartifyoufiguredoutthispassword
71,user72,F,45,other or not specified,45-49,55122,youaresosmartifyoufiguredoutthispassword
72,user73,M,18,college/grad student,18-24,53706,youaresosmartifyoufiguredoutthispassword
73,user74,M,35,sales/marketing,35-44,94530,youaresosmartifyoufiguredoutthispassword
74,user75,F,1,K-12 student,Under 18,01748,youaresosmartifyoufiguredoutthispassword
75,user76,M,35,executive/managerial,35-44,55413,youaresosmartifyoufiguredoutthispassword
76,user77,M,18,college/grad student,18-24,15321,youaresosmartifyoufiguredoutthispassword
77,user78,F,45,academic/educator,45-49,98029,youaresosmartifyoufiguredoutthispassword
78,user79,F,45,other or not specified,45-49,98103,youaresosmartifyoufiguredoutthispassword
79,user80,M,56,academic/educator,56+,49327,youaresosmartifyoufiguredoutthispassword
80,user81,F,25,other or not specified,25-34,60640,youaresosmartifyoufiguredoutthispassword
81,user82,M,25,technician/engineer,25-34,48380,youaresosmartifyoufiguredoutthispassword
82,user83,F,25,artist,25-34,94609,youaresosmartifyoufiguredoutthispassword
83,user84,M,18,college/grad student,18-24,53140,youaresosmartifyoufiguredoutthispassword
84,user85,M,18,college/grad student,18-24,94945,youaresosmartifyoufiguredoutthispassword
85,user86,F,1,K-12 student,Under 18,54467,youaresosmartifyoufiguredoutthispassword
86,user87,M,25,sales/marketing,25-34,48360,youaresosmartifyoufiguredoutthispassword
87,user88,F,45,academic/educator,45-49,02476,youaresosmartifyoufiguredoutthispassword
88,user89,F,56,homemaker,56+,85749,youaresosmartifyoufiguredoutthispassword
89,user90,M,56,retired,56+,85749,youaresosmartifyoufiguredoutthispassword
90,user91,M,35,executive/managerial,35-44,07650,youaresosmartifyoufiguredoutthispassword
91,user92,F,18,college/grad student,18-24,44243,youaresosmartifyoufiguredoutthispassword
92,user93,M,25,technician/engineer,25-34,95825,youaresosmartifyoufiguredoutthispassword
93,user94,M,25,technician/engineer,25-34,28601,youaresosmartifyoufiguredoutthispassword
94,user95,M,45,other or not specified,45-49,98201,youaresosmartifyoufiguredoutthispassword
95,user96,F,25,self-employed,25-34,78028,youaresosmartifyoufiguredoutthispassword
96,user97,F,35,clerical/admin,35-44,66210,youaresosmartifyoufiguredoutthispassword
97,user98,F,35,executive/managerial,35-44,33547,youaresosmartifyoufiguredoutthispassword
98,user99,F,1,K-12 student,Under 18,19390,youaresosmartifyoufiguredoutthispassword
99,user100,M,35,technician/engineer,35-44,95401,youaresosmartifyoufiguredoutthispassword
100,user101,F,18,clerical/admin,18-24,33314,youaresosmartifyoufiguredoutthispassword
101,user102,M,35,unemployed,35-44,20871,youaresosmartifyoufiguredoutthispassword
102,user103,M,45,executive/managerial,45-49,92104,youaresosmartifyoufiguredoutthispassword
103,user104,M,25,programmer,25-34,00926,youaresosmartifyoufiguredoutthispassword
104,user105,M,45,programmer,45-49,90277,youaresosmartifyoufiguredoutthispassword
105,user106,F,35,lawyer,35-44,79101,youaresosmartifyoufiguredoutthispassword
106,user107,M,45,tradesman/craftsman,45-49,63129,youaresosmartifyoufiguredoutthispassword
107,user108,M,25,programmer,25-34,30316,youaresosmartifyoufiguredoutthispassword
108,user109,M,45,scientist,45-49,92028,youaresosmartifyoufiguredoutthispassword
109,user110,M,25,artist,25-34,90803,youaresosmartifyoufiguredoutthispassword
110,user111,M,35,scientist,35-44,55416,youaresosmartifyoufiguredoutthispassword
111,user112,M,25,self-employed,25-34,97209,youaresosmartifyoufiguredoutthispassword
112,user113,M,18,programmer,18-24,37032,youaresosmartifyoufiguredoutthispassword
113,user114,F,25,artist,25-34,83712,youaresosmartifyoufiguredoutthispassword
114,user115,M,25,technician/engineer,25-34,28083,youaresosmartifyoufiguredoutthispassword
115,user116,M,25,technician/engineer,25-34,55744,youaresosmartifyoufiguredoutthispassword
116,user117,M,25,technician/engineer,25-34,33314,youaresosmartifyoufiguredoutthispassword
117,user118,M,35,technician/engineer,35-44,22315,youaresosmartifyoufiguredoutthispassword
118,user119,F,1,K-12 student,Under 18,77515,youaresosmartifyoufiguredoutthispassword
119,user120,M,25,lawyer,25-34,27106,youaresosmartifyoufiguredoutthispassword
120,user121,M,35,executive/managerial,35-44,75229,youaresosmartifyoufiguredoutthispassword
121,user122,F,18,college/grad student,18-24,94305,youaresosmartifyoufiguredoutthispassword
122,user123,M,35,homemaker,35-44,67208,youaresosmartifyoufiguredoutthispassword
123,user124,M,56,executive/managerial,56+,91356,youaresosmartifyoufiguredoutthispassword
124,user125,M,45,sales/marketing,45-49,01701,youaresosmartifyoufiguredoutthispassword
125,user126,M,18,homemaker,18-24,98117,youaresosmartifyoufiguredoutthispassword
126,user127,F,45,clerical/admin,45-49,01770,youaresosmartifyoufiguredoutthispassword
127,user128,M,56,doctor/health care,56+,37922,youaresosmartifyoufiguredoutthispassword
128,user129,M,25,lawyer,25-34,20164,youaresosmartifyoufiguredoutthispassword
129,user130,M,35,technician/engineer,35-44,50021,youaresosmartifyoufiguredoutthispassword
130,user131,M,18,college/grad student,18-24,06520,youaresosmartifyoufiguredoutthispassword
131,user132,M,25,technician/engineer,25-34,99709,youaresosmartifyoufiguredoutthispassword
132,user133,F,25,other or not specified,25-34,55071,youaresosmartifyoufiguredoutthispassword
133,user134,M,25,other or not specified,25-34,66212,youaresosmartifyoufiguredoutthispassword
134,user135,M,18,college/grad student,18-24,20006,youaresosmartifyoufiguredoutthispassword
135,user136,M,18,artist,18-24,21202,youaresosmartifyoufiguredoutthispassword
136,user137,F,45,doctor/health care,45-49,78758,youaresosmartifyoufiguredoutthispassword
137,user138,M,18,writer,18-24,22203,youaresosmartifyoufiguredoutthispassword
138,user139,F,25,writer,25-34,45409,youaresosmartifyoufiguredoutthispassword
139,user140,F,35,academic/educator,35-44,55107,youaresosmartifyoufiguredoutthispassword
140,user141,M,35,retired,35-44,62035,youaresosmartifyoufiguredoutthispassword
141,user142,M,25,executive/managerial,25-34,10011,youaresosmartifyoufiguredoutthispassword
142,user143,M,18,clerical/admin,18-24,64043,youaresosmartifyoufiguredoutthispassword
143,user144,M,25,technician/engineer,25-34,29401,youaresosmartifyoufiguredoutthispassword
144,user145,M,18,college/grad student,18-24,19081,youaresosmartifyoufiguredoutthispassword
145,user146,F,35,writer,35-44,10954,youaresosmartifyoufiguredoutthispassword
146,user147,M,18,college/grad student,18-24,91360,youaresosmartifyoufiguredoutthispassword
147,user148,M,50,technician/engineer,50-55,57747,youaresosmartifyoufiguredoutthispassword
148,user149,M,25,academic/educator,25-34,29205,youaresosmartifyoufiguredoutthispassword
149,user150,M,35,executive/managerial,35-44,98144,youaresosmartifyoufiguredoutthispassword
150,user151,F,25,writer,25-34,85013,youaresosmartifyoufiguredoutthispassword
151,user152,M,18,college/grad student,18-24,48104,youaresosmartifyoufiguredoutthispassword
152,user153,M,1,K-12 student,Under 18,51537,youaresosmartifyoufiguredoutthispassword
153,user154,M,50,writer,50-55,94530,youaresosmartifyoufiguredoutthispassword
154,user155,M,35,programmer,35-44,07470,youaresosmartifyoufiguredoutthispassword
155,user156,F,45,executive/managerial,45-49,14519,youaresosmartifyoufiguredoutthispassword
156,user157,M,35,self-employed,35-44,12866,youaresosmartifyoufiguredoutthispassword
157,user158,M,56,executive/managerial,56+,28754,youaresosmartifyoufiguredoutthispassword
158,user159,F,45,other or not specified,45-49,37922,youaresosmartifyoufiguredoutthispassword
159,user160,M,35,executive/managerial,35-44,13021,youaresosmartifyoufiguredoutthispassword
160,user161,M,45,self-employed,45-49,98107-2117,youaresosmartifyoufiguredoutthispassword
161,user162,F,18,college/grad student,18-24,93117,youaresosmartifyoufiguredoutthispassword
162,user163,M,18,college/grad student,18-24,85013,youaresosmartifyoufiguredoutthispassword
163,user164,F,56,retired,56+,94566,youaresosmartifyoufiguredoutthispassword
164,user165,M,18,self-employed,18-24,98502,youaresosmartifyoufiguredoutthispassword
165,user166,M,18,college/grad student,18-24,92802,youaresosmartifyoufiguredoutthispassword
166,user167,F,25,lawyer,25-34,10022,youaresosmartifyoufiguredoutthispassword
167,user168,F,50,other or not specified,50-55,46970,youaresosmartifyoufiguredoutthispassword
168,user169,M,25,executive/managerial,25-34,55439,youaresosmartifyoufiguredoutthispassword
169,user170,M,25,lawyer,25-34,07002,youaresosmartifyoufiguredoutthispassword
170,user171,F,50,technician/engineer,50-55,55441,youaresosmartifyoufiguredoutthispassword
171,user172,M,25,clerical/admin,25-34,07661,youaresosmartifyoufiguredoutthispassword
172,user173,M,25,other or not specified,25-34,45237,youaresosmartifyoufiguredoutthispassword
173,user174,M,25,self-employed,25-34,21203,youaresosmartifyoufiguredoutthispassword
174,user175,F,25,artist,25-34,95123,youaresosmartifyoufiguredoutthispassword
175,user176,F,18,clerical/admin,18-24,55016,youaresosmartifyoufiguredoutthispassword
176,user177,M,50,academic/educator,50-55,54016,youaresosmartifyoufiguredoutthispassword
177,user178,M,56,technician/engineer,56+,53705,youaresosmartifyoufiguredoutthispassword
178,user179,M,25,other or not specified,25-34,02135,youaresosmartifyoufiguredoutthispassword
179,user180,M,45,programmer,45-49,01603,youaresosmartifyoufiguredoutthispassword
180,user181,M,18,technician/engineer,18-24,33186,youaresosmartifyoufiguredoutthispassword
181,user182,M,18,college/grad student,18-24,03052,youaresosmartifyoufiguredoutthispassword
182,user183,F,45,academic/educator,45-49,55407,youaresosmartifyoufiguredoutthispassword
183,user184,F,25,other or not specified,25-34,19001,youaresosmartifyoufiguredoutthispassword
184,user185,M,45,other or not specified,45-49,14468,youaresosmartifyoufiguredoutthispassword
185,user186,M,18,customer service,18-24,91767,youaresosmartifyoufiguredoutthispassword
186,user187,F,45,academic/educator,45-49,94061,youaresosmartifyoufiguredoutthispassword
187,user188,M,56,self-employed,56+,79930,youaresosmartifyoufiguredoutthispassword
188,user189,M,18,other or not specified,18-24,60076,youaresosmartifyoufiguredoutthispassword
189,user190,M,25,technician/engineer,25-34,55125,youaresosmartifyoufiguredoutthispassword
190,user191,M,18,college/grad student,18-24,04915,youaresosmartifyoufiguredoutthispassword
191,user192,M,18,academic/educator,18-24,10977,youaresosmartifyoufiguredoutthispassword
192,user193,F,45,scientist,45-49,44106,youaresosmartifyoufiguredoutthispassword
193,user194,F,1,K-12 student,Under 18,29146,youaresosmartifyoufiguredoutthispassword
194,user195,M,25,programmer,25-34,10458,youaresosmartifyoufiguredoutthispassword
195,user196,F,35,homemaker,35-44,94587,youaresosmartifyoufiguredoutthispassword
196,user197,M,18,sales/marketing,18-24,10023,youaresosmartifyoufiguredoutthispassword
197,user198,M,25,programmer,25-34,55108,youaresosmartifyoufiguredoutthispassword
198,user199,M,18,college/grad student,18-24,83706,youaresosmartifyoufiguredoutthispassword
199,user200,F,18,college/grad student,18-24,84321,youaresosmartifyoufiguredoutthispassword
200,user201,F,35,artist,35-44,55117,youaresosmartifyoufiguredoutthispassword
201,user202,M,18,college/grad student,18-24,53706,youaresosmartifyoufiguredoutthispassword
202,user203,F,18,college/grad student,18-24,53715,youaresosmartifyoufiguredoutthispassword
203,user204,M,25,executive/managerial,25-34,92123,youaresosmartifyoufiguredoutthispassword
204,user205,M,35,programmer,35-44,97333,youaresosmartifyoufiguredoutthispassword
205,user206,M,25,technician/engineer,25-34,20194,youaresosmartifyoufiguredoutthispassword
206,user207,M,25,programmer,25-34,94115,youaresosmartifyoufiguredoutthispassword
207,user208,M,35,technician/engineer,35-44,55432,youaresosmartifyoufiguredoutthispassword
208,user209,M,35,academic/educator,35-44,90048,youaresosmartifyoufiguredoutthispassword
209,user210,F,1,K-12 student,Under 18,25801,youaresosmartifyoufiguredoutthispassword
210,user211,M,45,technician/engineer,45-49,90620,youaresosmartifyoufiguredoutthispassword
211,user212,M,25,self-employed,25-34,53714,youaresosmartifyoufiguredoutthispassword
212,user213,F,18,college/grad student,18-24,01609,youaresosmartifyoufiguredoutthispassword
213,user214,M,18,writer,18-24,80218,youaresosmartifyoufiguredoutthispassword
214,user215,M,35,sales/marketing,35-44,92075,youaresosmartifyoufiguredoutthispassword
215,user216,M,45,retired,45-49,52761,youaresosmartifyoufiguredoutthispassword
216,user217,M,18,college/grad student,18-24,22903,youaresosmartifyoufiguredoutthispassword
217,user218,M,35,sales/marketing,35-44,95822,youaresosmartifyoufiguredoutthispassword
218,user219,F,25,college/grad student,25-34,55113,youaresosmartifyoufiguredoutthispassword
219,user220,M,25,programmer,25-34,22903,youaresosmartifyoufiguredoutthispassword
220,user221,F,25,other or not specified,25-34,94063,youaresosmartifyoufiguredoutthispassword
221,user222,M,25,academic/educator,25-34,55116,youaresosmartifyoufiguredoutthispassword
222,user223,M,25,technician/engineer,25-34,28262,youaresosmartifyoufiguredoutthispassword
223,user224,F,18,college/grad student,18-24,14850,youaresosmartifyoufiguredoutthispassword
224,user225,M,25,executive/managerial,25-34,11215,youaresosmartifyoufiguredoutthispassword
225,user226,M,35,academic/educator,35-44,94518,youaresosmartifyoufiguredoutthispassword
226,user227,M,35,writer,35-44,90291,youaresosmartifyoufiguredoutthispassword
227,user228,M,25,scientist,25-34,55455,youaresosmartifyoufiguredoutthispassword
228,user229,M,18,K-12 student,18-24,04576,youaresosmartifyoufiguredoutthispassword
229,user230,M,45,academic/educator,45-49,43210,youaresosmartifyoufiguredoutthispassword
230,user231,M,25,clerical/admin,25-34,55455,youaresosmartifyoufiguredoutthispassword
231,user232,M,25,writer,25-34,55408,youaresosmartifyoufiguredoutthispassword
232,user233,F,45,writer,45-49,37919-4204,youaresosmartifyoufiguredoutthispassword
233,user234,M,35,executive/managerial,35-44,39652,youaresosmartifyoufiguredoutthispassword
234,user235,M,25,other or not specified,25-34,98153,youaresosmartifyoufiguredoutthispassword
235,user236,M,25,customer service,25-34,55126,youaresosmartifyoufiguredoutthispassword
236,user237,M,25,doctor/health care,25-34,46835,youaresosmartifyoufiguredoutthispassword
237,user238,F,50,executive/managerial,50-55,90291,youaresosmartifyoufiguredoutthispassword
238,user239,M,18,unemployed,18-24,94618,youaresosmartifyoufiguredoutthispassword
239,user240,M,50,technician/engineer,50-55,55113,youaresosmartifyoufiguredoutthispassword
240,user241,M,35,writer,35-44,55121,youaresosmartifyoufiguredoutthispassword
241,user242,F,18,college/grad student,18-24,53706,youaresosmartifyoufiguredoutthispassword
242,user243,M,25,self-employed,25-34,11576,youaresosmartifyoufiguredoutthispassword
243,user244,M,50,executive/managerial,50-55,19072,youaresosmartifyoufiguredoutthispassword
244,user245,M,35,self-employed,35-44,66046,youaresosmartifyoufiguredoutthispassword
245,user246,F,18,college/grad student,18-24,60625,youaresosmartifyoufiguredoutthispassword
246,user247,M,25,technician/engineer,25-34,94404,youaresosmartifyoufiguredoutthispassword
247,user248,M,18,technician/engineer,18-24,72703,youaresosmartifyoufiguredoutthispassword
248,user249,F,18,sales/marketing,18-24,48126,youaresosmartifyoufiguredoutthispassword
249,user250,M,35,self-employed,35-44,11229,youaresosmartifyoufiguredoutthispassword
250,user251,M,56,technician/engineer,56+,55105,youaresosmartifyoufiguredoutthispassword
251,user252,M,25,programmer,25-34,94112,youaresosmartifyoufiguredoutthispassword
252,user253,F,25,lawyer,25-34,97370,youaresosmartifyoufiguredoutthispassword
253,user254,M,35,technician/engineer,35-44,49015,youaresosmartifyoufiguredoutthispassword
254,user255,M,35,other or not specified,35-44,85310,youaresosmartifyoufiguredoutthispassword
255,user256,M,45,self-employed,45-49,55076,youaresosmartifyoufiguredoutthispassword
256,user257,M,18,tradesman/craftsman,18-24,55113,youaresosmartifyoufiguredoutthispassword
257,user258,M,25,executive/managerial,25-34,55436,youaresosmartifyoufiguredoutthispassword
258,user259,M,25,academic/educator,25-34,60615,youaresosmartifyoufiguredoutthispassword
259,user260,M,18,unemployed,18-24,98126,youaresosmartifyoufiguredoutthispassword
260,user261,M,25,writer,25-34,75801,youaresosmartifyoufiguredoutthispassword
261,user262,F,25,academic/educator,25-34,68503,youaresosmartifyoufiguredoutthispassword
262,user263,F,25,executive/managerial,25-34,22304,youaresosmartifyoufiguredoutthispassword
263,user264,M,35,other or not specified,35-44,20755,youaresosmartifyoufiguredoutthispassword
264,user265,F,35,executive/managerial,35-44,55116,youaresosmartifyoufiguredoutthispassword
265,user266,M,35,lawyer,35-44,75229,youaresosmartifyoufiguredoutthispassword
266,user267,M,45,programmer,45-49,55001,youaresosmartifyoufiguredoutthispassword
267,user268,F,18,programmer,18-24,29708,youaresosmartifyoufiguredoutthispassword
268,user269,M,25,artist,25-34,55408,youaresosmartifyoufiguredoutthispassword
269,user270,M,50,sales/marketing,50-55,55414,youaresosmartifyoufiguredoutthispassword
270,user271,M,18,college/grad student,18-24,48202,youaresosmartifyoufiguredoutthispassword
271,user272,M,18,other or not specified,18-24,80302,youaresosmartifyoufiguredoutthispassword
272,user273,M,18,college/grad student,18-24,55427,youaresosmartifyoufiguredoutthispassword
273,user274,M,18,college/grad student,18-24,55455,youaresosmartifyoufiguredoutthispassword
274,user275,M,25,other or not specified,25-34,48162,youaresosmartifyoufiguredoutthispassword
275,user276,M,45,self-employed,45-49,01982,youaresosmartifyoufiguredoutthispassword
276,user277,F,35,academic/educator,35-44,98126,youaresosmartifyoufiguredoutthispassword
277,user278,M,45,tradesman/craftsman,45-49,60482,youaresosmartifyoufiguredoutthispassword
278,user279,M,25,sales/marketing,25-34,91214,youaresosmartifyoufiguredoutthispassword
279,user280,M,50,executive/managerial,50-55,19118,youaresosmartifyoufiguredoutthispassword
280,user281,F,35,other or not specified,35-44,94117,youaresosmartifyoufiguredoutthispassword
281,user282,M,25,technician/engineer,25-34,94401,youaresosmartifyoufiguredoutthispassword
282,user283,M,25,other or not specified,25-34,10003,youaresosmartifyoufiguredoutthispassword
283,user284,M,25,programmer,25-34,91910,youaresosmartifyoufiguredoutthispassword
284,user285,F,35,other or not specified,35-44,94109,youaresosmartifyoufiguredoutthispassword
285,user286,M,25,academic/educator,25-34,54601,youaresosmartifyoufiguredoutthispassword
286,user287,M,50,retired,50-55,94706,youaresosmartifyoufiguredoutthispassword
287,user288,F,25,programmer,25-34,97119,youaresosmartifyoufiguredoutthispassword
288,user289,F,25,other or not specified,25-34,11801,youaresosmartifyoufiguredoutthispassword
289,user290,F,25,writer,25-34,94591,youaresosmartifyoufiguredoutthispassword
290,user291,M,35,programmer,35-44,55110,youaresosmartifyoufiguredoutthispassword
291,user292,M,35,executive/managerial,35-44,19406,youaresosmartifyoufiguredoutthispassword
292,user293,M,56,academic/educator,56+,55337-4056,youaresosmartifyoufiguredoutthispassword
293,user294,F,45,homemaker,45-49,43147,youaresosmartifyoufiguredoutthispassword
294,user295,M,18,other or not specified,18-24,80203,youaresosmartifyoufiguredoutthispassword
295,user296,M,50,customer service,50-55,89432,youaresosmartifyoufiguredoutthispassword
296,user297,M,18,artist,18-24,97211,youaresosmartifyoufiguredoutthispassword
297,user298,F,18,college/grad student,18-24,19010,youaresosmartifyoufiguredoutthispassword
298,user299,M,25,programmer,25-34,97370,youaresosmartifyoufiguredoutthispassword
299,user300,M,25,executive/managerial,25-34,78664,youaresosmartifyoufiguredoutthispassword
300,user301,M,18,college/grad student,18-24,61820,youaresosmartifyoufiguredoutthispassword
301,user302,M,18,college/grad student,18-24,04901,youaresosmartifyoufiguredoutthispassword
302,user303,M,25,executive/managerial,25-34,20006,youaresosmartifyoufiguredoutthispassword
303,user304,M,25,other or not specified,25-34,55414,youaresosmartifyoufiguredoutthispassword
304,user305,F,18,other or not specified,18-24,55414,youaresosmartifyoufiguredoutthispassword
305,user306,M,18,other or not specified,18-24,53051,youaresosmartifyoufiguredoutthispassword
306,user307,M,50,self-employed,50-55,90027,youaresosmartifyoufiguredoutthispassword
307,user308,M,25,artist,25-34,10025,youaresosmartifyoufiguredoutthispassword
308,user309,M,25,college/grad student,25-34,16801,youaresosmartifyoufiguredoutthispassword
309,user310,F,18,college/grad student,18-24,31207,youaresosmartifyoufiguredoutthispassword
310,user311,M,18,college/grad student,18-24,31201,youaresosmartifyoufiguredoutthispassword
311,user312,F,50,artist,50-55,22207,youaresosmartifyoufiguredoutthispassword
312,user313,F,18,college/grad student,18-24,02138,youaresosmartifyoufiguredoutthispassword
313,user314,F,56,homemaker,56+,46911,youaresosmartifyoufiguredoutthispassword
314,user315,F,56,academic/educator,56+,55105,youaresosmartifyoufiguredoutthispassword
315,user316,M,56,retired,56+,90740,youaresosmartifyoufiguredoutthispassword
316,user317,M,35,executive/managerial,35-44,38555,youaresosmartifyoufiguredoutthispassword
317,user318,F,56,retired,56+,55104,youaresosmartifyoufiguredoutthispassword
318,user319,F,50,doctor/health care,50-55,33436,youaresosmartifyoufiguredoutthispassword
319,user320,M,35,doctor/health care,35-44,99516,youaresosmartifyoufiguredoutthispassword
320,user321,M,18,college/grad student,18-24,55128,youaresosmartifyoufiguredoutthispassword
321,user322,M,56,technician/engineer,56+,55117,youaresosmartifyoufiguredoutthispassword
322,user323,M,45,programmer,45-49,53716,youaresosmartifyoufiguredoutthispassword
323,user324,M,35,technician/engineer,35-44,55106,youaresosmartifyoufiguredoutthispassword
324,user325,F,50,clerical/admin,50-55,55112,youaresosmartifyoufiguredoutthispassword
325,user326,M,50,lawyer,50-55,25302,youaresosmartifyoufiguredoutthispassword
326,user327,M,35,tradesman/craftsman,35-44,55448,youaresosmartifyoufiguredoutthispassword
327,user328,M,35,programmer,35-44,80401,youaresosmartifyoufiguredoutthispassword
328,user329,M,35,executive/managerial,35-44,02115,youaresosmartifyoufiguredoutthispassword
329,user330,M,56,executive/managerial,56+,92065,youaresosmartifyoufiguredoutthispassword
330,user331,M,25,executive/managerial,25-34,55902,youaresosmartifyoufiguredoutthispassword
331,user332,M,50,academic/educator,50-55,55109,youaresosmartifyoufiguredoutthispassword
332,user333,M,35,artist,35-44,55410,youaresosmartifyoufiguredoutthispassword
333,user334,F,56,artist,56+,55113,youaresosmartifyoufiguredoutthispassword
