username,gender,age,occupation,age,zipcode,password
user100,M,35,technician/engineer,35-44,95401,youaresosmartifyoufiguredoutthispassword
user101,F,18,clerical/admin,18-24,33314,youaresosmartifyoufiguredoutthispassword
user102,M,35,unemployed,35-44,20871,youaresosmartifyoufiguredoutthispassword
user103,M,45,executive/managerial,45-49,92104,youaresosmartifyoufiguredoutthispassword
user104,M,25,programmer,25-34,926,youaresosmartifyoufiguredoutthispassword
user105,M,45,programmer,45-49,90277,youaresosmartifyoufiguredoutthispassword
user106,F,35,lawyer,35-44,79101,youaresosmartifyoufiguredoutthispassword
user107,M,45,tradesman/craftsman,45-49,63129,youaresosmartifyoufiguredoutthispassword
user108,M,25,programmer,25-34,30316,youaresosmartifyoufiguredoutthispassword
user109,M,45,scientist,45-49,92028,youaresosmartifyoufiguredoutthispassword
user110,M,25,artist,25-34,90803,youaresosmartifyoufiguredoutthispassword
user111,M,35,scientist,35-44,55416,youaresosmartifyoufiguredoutthispassword
user112,M,25,self-employed,25-34,97209,youaresosmartifyoufiguredoutthispassword
user113,M,18,programmer,18-24,37032,youaresosmartifyoufiguredoutthispassword
user114,F,25,artist,25-34,83712,youaresosmartifyoufiguredoutthispassword
user115,M,25,technician/engineer,25-34,28083,youaresosmartifyoufiguredoutthispassword
user116,M,25,technician/engineer,25-34,55744,youaresosmartifyoufiguredoutthispassword
user117,M,25,technician/engineer,25-34,33314,youaresosmartifyoufiguredoutthispassword
user118,M,35,technician/engineer,35-44,22315,youaresosmartifyoufiguredoutthispassword
user119,F,1,K-12 student,Under 18,77515,youaresosmartifyoufiguredoutthispassword
user120,M,25,lawyer,25-34,27106,youaresosmartifyoufiguredoutthispassword
user121,M,35,executive/managerial,35-44,75229,youaresosmartifyoufiguredoutthispassword
user122,F,18,college/grad student,18-24,94305,youaresosmartifyoufiguredoutthispassword
user123,M,35,homemaker,35-44,67208,youaresosmartifyoufiguredoutthispassword
user124,M,56,executive/managerial,56+,91356,youaresosmartifyoufiguredoutthispassword
user125,M,45,sales/marketing,45-49,1701,youaresosmartifyoufiguredoutthispassword
user126,M,18,homemaker,18-24,98117,youaresosmartifyoufiguredoutthispassword
user127,F,45,clerical/admin,45-49,1770,youaresosmartifyoufiguredoutthispassword
user128,M,56,doctor/health care,56+,37922,youaresosmartifyoufiguredoutthispassword
user129,M,25,lawyer,25-34,20164,youaresosmartifyoufiguredoutthispassword
user130,M,35,technician/engineer,35-44,50021,youaresosmartifyoufiguredoutthispassword
user131,M,18,college/grad student,18-24,6520,youaresosmartifyoufiguredoutthispassword
user132,M,25,technician/engineer,25-34,99709,youaresosmartifyoufiguredoutthispassword
user133,F,25,other or not specified,25-34,55071,youaresosmartifyoufiguredoutthispassword
user134,M,25,other or not specified,25-34,66212,youaresosmartifyoufiguredoutthispassword
user135,M,18,college/grad student,18-24,20006,youaresosmartifyoufiguredoutthispassword
user136,M,18,artist,18-24,21202,youaresosmartifyoufiguredoutthispassword
user137,F,45,doctor/health care,45-49,78758,youaresosmartifyoufiguredoutthispassword
user138,M,18,writer,18-24,22203,youaresosmartifyoufiguredoutthispassword
user139,F,25,writer,25-34,45409,youaresosmartifyoufiguredoutthispassword
user140,F,35,academic/educator,35-44,55107,youaresosmartifyoufiguredoutthispassword
user141,M,35,retired,35-44,62035,youaresosmartifyoufiguredoutthispassword
user142,M,25,executive/managerial,25-34,10011,youaresosmartifyoufiguredoutthispassword
user143,M,18,clerical/admin,18-24,64043,youaresosmartifyoufiguredoutthispassword
user144,M,25,technician/engineer,25-34,29401,youaresosmartifyoufiguredoutthispassword
user145,M,18,college/grad student,18-24,19081,youaresosmartifyoufiguredoutthispassword
user146,F,35,writer,35-44,10954,youaresosmartifyoufiguredoutthispassword
user147,M,18,college/grad student,18-24,91360,youaresosmartifyoufiguredoutthispassword
user148,M,50,technician/engineer,50-55,57747,youaresosmartifyoufiguredoutthispassword
user149,M,25,academic/educator,25-34,29205,youaresosmartifyoufiguredoutthispassword
user150,M,35,executive/managerial,35-44,98144,youaresosmartifyoufiguredoutthispassword
user151,F,25,writer,25-34,85013,youaresosmartifyoufiguredoutthispassword
user152,M,18,college/grad student,18-24,48104,youaresosmartifyoufiguredoutthispassword
user153,M,1,K-12 student,Under 18,51537,youaresosmartifyoufiguredoutthispassword
user154,M,50,writer,50-55,94530,youaresosmartifyoufiguredoutthispassword
user155,M,35,programmer,35-44,7470,youaresosmartifyoufiguredoutthispassword
user156,F,45,executive/managerial,45-49,14519,youaresosmartifyoufiguredoutthispassword
user157,M,35,self-employed,35-44,12866,youaresosmartifyoufiguredoutthispassword
user158,M,56,executive/managerial,56+,28754,youaresosmartifyoufiguredoutthispassword
user159,F,45,other or not specified,45-49,37922,youaresosmartifyoufiguredoutthispassword
user160,M,35,executive/managerial,35-44,13021,youaresosmartifyoufiguredoutthispassword
user161,M,45,self-employed,45-49,98107-2117,youaresosmartifyoufiguredoutthispassword
user162,F,18,college/grad student,18-24,93117,youaresosmartifyoufiguredoutthispassword
user163,M,18,college/grad student,18-24,85013,youaresosmartifyoufiguredoutthispassword
user164,F,56,retired,56+,94566,youaresosmartifyoufiguredoutthispassword
user165,M,18,self-employed,18-24,98502,youaresosmartifyoufiguredoutthispassword
user166,M,18,college/grad student,18-24,92802,youaresosmartifyoufiguredoutthispassword
user167,F,25,lawyer,25-34,10022,youaresosmartifyoufiguredoutthispassword
user168,F,50,other or not specified,50-55,46970,youaresosmartifyoufiguredoutthispassword
user169,M,25,executive/managerial,25-34,55439,youaresosmartifyoufiguredoutthispassword
user170,M,25,lawyer,25-34,7002,youaresosmartifyoufiguredoutthispassword
user171,F,50,technician/engineer,50-55,55441,youaresosmartifyoufiguredoutthispassword
user172,M,25,clerical/admin,25-34,7661,youaresosmartifyoufiguredoutthispassword
user173,M,25,other or not specified,25-34,45237,youaresosmartifyoufiguredoutthispassword
user174,M,25,self-employed,25-34,21203,youaresosmartifyoufiguredoutthispassword
user175,F,25,artist,25-34,95123,youaresosmartifyoufiguredoutthispassword
user176,F,18,clerical/admin,18-24,55016,youaresosmartifyoufiguredoutthispassword
user177,M,50,academic/educator,50-55,54016,youaresosmartifyoufiguredoutthispassword
user178,M,56,technician/engineer,56+,53705,youaresosmartifyoufiguredoutthispassword
user179,M,25,other or not specified,25-34,2135,youaresosmartifyoufiguredoutthispassword
user180,M,45,programmer,45-49,1603,youaresosmartifyoufiguredoutthispassword
user181,M,18,technician/engineer,18-24,33186,youaresosmartifyoufiguredoutthispassword
user182,M,18,college/grad student,18-24,3052,youaresosmartifyoufiguredoutthispassword
user183,F,45,academic/educator,45-49,55407,youaresosmartifyoufiguredoutthispassword
user184,F,25,other or not specified,25-34,19001,youaresosmartifyoufiguredoutthispassword
user185,M,45,other or not specified,45-49,14468,youaresosmartifyoufiguredoutthispassword
user186,M,18,customer service,18-24,91767,youaresosmartifyoufiguredoutthispassword
user187,F,45,academic/educator,45-49,94061,youaresosmartifyoufiguredoutthispassword
user188,M,56,self-employed,56+,79930,youaresosmartifyoufiguredoutthispassword
user189,M,18,other or not specified,18-24,60076,youaresosmartifyoufiguredoutthispassword
user190,M,25,technician/engineer,25-34,55125,youaresosmartifyoufiguredoutthispassword
user191,M,18,college/grad student,18-24,4915,youaresosmartifyoufiguredoutthispassword
user192,M,18,academic/educator,18-24,10977,youaresosmartifyoufiguredoutthispassword
user193,F,45,scientist,45-49,44106,youaresosmartifyoufiguredoutthispassword
user194,F,1,K-12 student,Under 18,29146,youaresosmartifyoufiguredoutthispassword
user195,M,25,programmer,25-34,10458,youaresosmartifyoufiguredoutthispassword
user196,F,35,homemaker,35-44,94587,youaresosmartifyoufiguredoutthispassword
user197,M,18,sales/marketing,18-24,10023,youaresosmartifyoufiguredoutthispassword
user198,M,25,programmer,25-34,55108,youaresosmartifyoufiguredoutthispassword
user199,M,18,college/grad student,18-24,83706,youaresosmartifyoufiguredoutthispassword
user200,F,18,college/grad student,18-24,84321,youaresosmartifyoufiguredoutthispassword
user201,F,35,artist,35-44,55117,youaresosmartifyoufiguredoutthispassword
user202,M,18,college/grad student,18-24,53706,youaresosmartifyoufiguredoutthispassword
user203,F,18,college/grad student,18-24,53715,youaresosmartifyoufiguredoutthispassword
user204,M,25,executive/managerial,25-34,92123,youaresosmartifyoufiguredoutthispassword
user205,M,35,programmer,35-44,97333,youaresosmartifyoufiguredoutthispassword
user206,M,25,technician/engineer,25-34,20194,youaresosmartifyoufiguredoutthispassword
user207,M,25,programmer,25-34,94115,youaresosmartifyoufiguredoutthispassword
user208,M,35,technician/engineer,35-44,55432,youaresosmartifyoufiguredoutthispassword
user209,M,35,academic/educator,35-44,90048,youaresosmartifyoufiguredoutthispassword
user210,F,1,K-12 student,Under 18,25801,youaresosmartifyoufiguredoutthispassword
user211,M,45,technician/engineer,45-49,90620,youaresosmartifyoufiguredoutthispassword
user212,M,25,self-employed,25-34,53714,youaresosmartifyoufiguredoutthispassword
user213,F,18,college/grad student,18-24,1609,youaresosmartifyoufiguredoutthispassword
user214,M,18,writer,18-24,80218,youaresosmartifyoufiguredoutthispassword
user215,M,35,sales/marketing,35-44,92075,youaresosmartifyoufiguredoutthispassword
user216,M,45,retired,45-49,52761,youaresosmartifyoufiguredoutthispassword
user217,M,18,college/grad student,18-24,22903,youaresosmartifyoufiguredoutthispassword
user218,M,35,sales/marketing,35-44,95822,youaresosmartifyoufiguredoutthispassword
user219,F,25,college/grad student,25-34,55113,youaresosmartifyoufiguredoutthispassword
user220,M,25,programmer,25-34,22903,youaresosmartifyoufiguredoutthispassword
user221,F,25,other or not specified,25-34,94063,youaresosmartifyoufiguredoutthispassword
user222,M,25,academic/educator,25-34,55116,youaresosmartifyoufiguredoutthispassword
user223,M,25,technician/engineer,25-34,28262,youaresosmartifyoufiguredoutthispassword
user224,F,18,college/grad student,18-24,14850,youaresosmartifyoufiguredoutthispassword
user225,M,25,executive/managerial,25-34,11215,youaresosmartifyoufiguredoutthispassword
user226,M,35,academic/educator,35-44,94518,youaresosmartifyoufiguredoutthispassword
user227,M,35,writer,35-44,90291,youaresosmartifyoufiguredoutthispassword
user228,M,25,scientist,25-34,55455,youaresosmartifyoufiguredoutthispassword
user229,M,18,K-12 student,18-24,4576,youaresosmartifyoufiguredoutthispassword
user230,M,45,academic/educator,45-49,43210,youaresosmartifyoufiguredoutthispassword
user231,M,25,clerical/admin,25-34,55455,youaresosmartifyoufiguredoutthispassword
user232,M,25,writer,25-34,55408,youaresosmartifyoufiguredoutthispassword
user233,F,45,writer,45-49,37919-4204,youaresosmartifyoufiguredoutthispassword
user234,M,35,executive/managerial,35-44,39652,youaresosmartifyoufiguredoutthispassword
user235,M,25,other or not specified,25-34,98153,youaresosmartifyoufiguredoutthispassword
user236,M,25,customer service,25-34,55126,youaresosmartifyoufiguredoutthispassword
user237,M,25,doctor/health care,25-34,46835,youaresosmartifyoufiguredoutthispassword
user238,F,50,executive/managerial,50-55,90291,youaresosmartifyoufiguredoutthispassword
user239,M,18,unemployed,18-24,94618,youaresosmartifyoufiguredoutthispassword
user240,M,50,technician/engineer,50-55,55113,youaresosmartifyoufiguredoutthispassword
user241,M,35,writer,35-44,55121,youaresosmartifyoufiguredoutthispassword
user242,F,18,college/grad student,18-24,53706,youaresosmartifyoufiguredoutthispassword
user243,M,25,self-employed,25-34,11576,youaresosmartifyoufiguredoutthispassword
user244,M,50,executive/managerial,50-55,19072,youaresosmartifyoufiguredoutthispassword
user245,M,35,self-employed,35-44,66046,youaresosmartifyoufiguredoutthispassword
user246,F,18,college/grad student,18-24,60625,youaresosmartifyoufiguredoutthispassword
user247,M,25,technician/engineer,25-34,94404,youaresosmartifyoufiguredoutthispassword
user248,M,18,technician/engineer,18-24,72703,youaresosmartifyoufiguredoutthispassword
user249,F,18,sales/marketing,18-24,48126,youaresosmartifyoufiguredoutthispassword
user250,M,35,self-employed,35-44,11229,youaresosmartifyoufiguredoutthispassword
user251,M,56,technician/engineer,56+,55105,youaresosmartifyoufiguredoutthispassword
user252,M,25,programmer,25-34,94112,youaresosmartifyoufiguredoutthispassword
user253,F,25,lawyer,25-34,97370,youaresosmartifyoufiguredoutthispassword
user254,M,35,technician/engineer,35-44,49015,youaresosmartifyoufiguredoutthispassword
user255,M,35,other or not specified,35-44,85310,youaresosmartifyoufiguredoutthispassword
user256,M,45,self-employed,45-49,55076,youaresosmartifyoufiguredoutthispassword
user257,M,18,tradesman/craftsman,18-24,55113,youaresosmartifyoufiguredoutthispassword
user258,M,25,executive/managerial,25-34,55436,youaresosmartifyoufiguredoutthispassword
user259,M,25,academic/educator,25-34,60615,youaresosmartifyoufiguredoutthispassword
user260,M,18,unemployed,18-24,98126,youaresosmartifyoufiguredoutthispassword
user261,M,25,writer,25-34,75801,youaresosmartifyoufiguredoutthispassword
user262,F,25,academic/educator,25-34,68503,youaresosmartifyoufiguredoutthispassword
user263,F,25,executive/managerial,25-34,22304,youaresosmartifyoufiguredoutthispassword
user264,M,35,other or not specified,35-44,20755,youaresosmartifyoufiguredoutthispassword
user265,F,35,executive/managerial,35-44,55116,youaresosmartifyoufiguredoutthispassword
user266,M,35,lawyer,35-44,75229,youaresosmartifyoufiguredoutthispassword
user267,M,45,programmer,45-49,55001,youaresosmartifyoufiguredoutthispassword
user268,F,18,programmer,18-24,29708,youaresosmartifyoufiguredoutthispassword
user269,M,25,artist,25-34,55408,youaresosmartifyoufiguredoutthispassword
user270,M,50,sales/marketing,50-55,55414,youaresosmartifyoufiguredoutthispassword
user271,M,18,college/grad student,18-24,48202,youaresosmartifyoufiguredoutthispassword
user272,M,18,other or not specified,18-24,80302,youaresosmartifyoufiguredoutthispassword
user273,M,18,college/grad student,18-24,55427,youaresosmartifyoufiguredoutthispassword
user274,M,18,college/grad student,18-24,55455,youaresosmartifyoufiguredoutthispassword
user275,M,25,other or not specified,25-34,48162,youaresosmartifyoufiguredoutthispassword
user276,M,45,self-employed,45-49,1982,youaresosmartifyoufiguredoutthispassword
user277,F,35,academic/educator,35-44,98126,youaresosmartifyoufiguredoutthispassword
user278,M,45,tradesman/craftsman,45-49,60482,youaresosmartifyoufiguredoutthispassword
user279,M,25,sales/marketing,25-34,91214,youaresosmartifyoufiguredoutthispassword
user280,M,50,executive/managerial,50-55,19118,youaresosmartifyoufiguredoutthispassword
user281,F,35,other or not specified,35-44,94117,youaresosmartifyoufiguredoutthispassword
user282,M,25,technician/engineer,25-34,94401,youaresosmartifyoufiguredoutthispassword
user283,M,25,other or not specified,25-34,10003,youaresosmartifyoufiguredoutthispassword
user284,M,25,programmer,25-34,91910,youaresosmartifyoufiguredoutthispassword
user285,F,35,other or not specified,35-44,94109,youaresosmartifyoufiguredoutthispassword
user286,M,25,academic/educator,25-34,54601,youaresosmartifyoufiguredoutthispassword
user287,M,50,retired,50-55,94706,youaresosmartifyoufiguredoutthispassword
user288,F,25,programmer,25-34,97119,youaresosmartifyoufiguredoutthispassword
user289,F,25,other or not specified,25-34,11801,youaresosmartifyoufiguredoutthispassword
user290,F,25,writer,25-34,94591,youaresosmartifyoufiguredoutthispassword
user291,M,35,programmer,35-44,55110,youaresosmartifyoufiguredoutthispassword
user292,M,35,executive/managerial,35-44,19406,youaresosmartifyoufiguredoutthispassword
user293,M,56,academic/educator,56+,55337-4056,youaresosmartifyoufiguredoutthispassword
user294,F,45,homemaker,45-49,43147,youaresosmartifyoufiguredoutthispassword
user295,M,18,other or not specified,18-24,80203,youaresosmartifyoufiguredoutthispassword
user296,M,50,customer service,50-55,89432,youaresosmartifyoufiguredoutthispassword
user297,M,18,artist,18-24,97211,youaresosmartifyoufiguredoutthispassword
user298,F,18,college/grad student,18-24,19010,youaresosmartifyoufiguredoutthispassword
user299,M,25,programmer,25-34,97370,youaresosmartifyoufiguredoutthispassword
user300,M,25,executive/managerial,25-34,78664,youaresosmartifyoufiguredoutthispassword
user301,M,18,college/grad student,18-24,61820,youaresosmartifyoufiguredoutthispassword
user302,M,18,college/grad student,18-24,4901,youaresosmartifyoufiguredoutthispassword
user303,M,25,executive/managerial,25-34,20006,youaresosmartifyoufiguredoutthispassword
user304,M,25,other or not specified,25-34,55414,youaresosmartifyoufiguredoutthispassword
user305,F,18,other or not specified,18-24,55414,youaresosmartifyoufiguredoutthispassword
user306,M,18,other or not specified,18-24,53051,youaresosmartifyoufiguredoutthispassword
user307,M,50,self-employed,50-55,90027,youaresosmartifyoufiguredoutthispassword
user308,M,25,artist,25-34,10025,youaresosmartifyoufiguredoutthispassword
user309,M,25,college/grad student,25-34,16801,youaresosmartifyoufiguredoutthispassword
user310,F,18,college/grad student,18-24,31207,youaresosmartifyoufiguredoutthispassword
user311,M,18,college/grad student,18-24,31201,youaresosmartifyoufiguredoutthispassword
user312,F,50,artist,50-55,22207,youaresosmartifyoufiguredoutthispassword
user313,F,18,college/grad student,18-24,2138,youaresosmartifyoufiguredoutthispassword
user314,F,56,homemaker,56+,46911,youaresosmartifyoufiguredoutthispassword
user315,F,56,academic/educator,56+,55105,youaresosmartifyoufiguredoutthispassword
user316,M,56,retired,56+,90740,youaresosmartifyoufiguredoutthispassword
user317,M,35,executive/managerial,35-44,38555,youaresosmartifyoufiguredoutthispassword
user318,F,56,retired,56+,55104,youaresosmartifyoufiguredoutthispassword
user319,F,50,doctor/health care,50-55,33436,youaresosmartifyoufiguredoutthispassword
user320,M,35,doctor/health care,35-44,99516,youaresosmartifyoufiguredoutthispassword
user321,M,18,college/grad student,18-24,55128,youaresosmartifyoufiguredoutthispassword
user322,M,56,technician/engineer,56+,55117,youaresosmartifyoufiguredoutthispassword
user323,M,45,programmer,45-49,53716,youaresosmartifyoufiguredoutthispassword
user324,M,35,technician/engineer,35-44,55106,youaresosmartifyoufiguredoutthispassword
user325,F,50,clerical/admin,50-55,55112,youaresosmartifyoufiguredoutthispassword
user326,M,50,lawyer,50-55,25302,youaresosmartifyoufiguredoutthispassword
user327,M,35,tradesman/craftsman,35-44,55448,youaresosmartifyoufiguredoutthispassword
user328,M,35,programmer,35-44,80401,youaresosmartifyoufiguredoutthispassword
user329,M,35,executive/managerial,35-44,2115,youaresosmartifyoufiguredoutthispassword
user330,M,56,executive/managerial,56+,92065,youaresosmartifyoufiguredoutthispassword
user331,M,25,executive/managerial,25-34,55902,youaresosmartifyoufiguredoutthispassword
user332,M,50,academic/educator,50-55,55109,youaresosmartifyoufiguredoutthispassword
user333,M,35,artist,35-44,55410,youaresosmartifyoufiguredoutthispassword
user334,F,56,artist,56+,55113,youaresosmartifyoufiguredoutthispassword
user335,M,35,tradesman/craftsman,35-44,55434,youaresosmartifyoufiguredoutthispassword
user336,M,18,other or not specified,18-24,98765,youaresosmartifyoufiguredoutthispassword
user337,M,18,unemployed,18-24,80205,youaresosmartifyoufiguredoutthispassword
user338,M,35,executive/managerial,35-44,55116,youaresosmartifyoufiguredoutthispassword
user339,M,50,executive/managerial,50-55,80207,youaresosmartifyoufiguredoutthispassword
user340,F,25,clerical/admin,25-34,28001,youaresosmartifyoufiguredoutthispassword
user341,F,56,retired,56+,92119,youaresosmartifyoufiguredoutthispassword
user342,M,18,programmer,18-24,55076,youaresosmartifyoufiguredoutthispassword
user343,F,35,clerical/admin,35-44,55127,youaresosmartifyoufiguredoutthispassword
user344,M,35,sales/marketing,35-44,75034,youaresosmartifyoufiguredoutthispassword
user345,M,25,programmer,25-34,94114,youaresosmartifyoufiguredoutthispassword
user346,F,25,other or not specified,25-34,55110,youaresosmartifyoufiguredoutthispassword
user347,F,56,academic/educator,56+,55305,youaresosmartifyoufiguredoutthispassword
user348,M,50,executive/managerial,50-55,55110,youaresosmartifyoufiguredoutthispassword
user349,M,1,K-12 student,Under 18,8035,youaresosmartifyoufiguredoutthispassword
user350,M,45,writer,45-49,8035,youaresosmartifyoufiguredoutthispassword
user351,M,18,college/grad student,18-24,55105,youaresosmartifyoufiguredoutthispassword
